R1-PA1:VH,R1-PM1:V,R1-PA2:VH,R1-PM2:V,R1-PA3:VH,R1-PM3:V,R1-PA4:IH,R1-PM4:I,R1-PA5:IH,R1-PM5:I,R1-PA6:IH,R1-PM6:I,R1-PA7:VH,R1-PM7:V,R1-PA8:VH,R1-PM8:V,R1-PA9:VH,R1-PM9:V,R1-PA10:IH,R1-PM10:I,R1-PA11:IH,R1-PM11:I,R1-PA12:IH,R1-PM12:I,R1:F,R1:DF,R1-PA:Z,R1-PA:ZH,R1:S,R2-PA1:VH,R2-PM1:V,R2-PA2:VH,R2-PM2:V,R2-PA3:VH,R2-PM3:V,R2-PA4:IH,R2-PM4:I,R2-PA5:IH,R2-PM5:I,R2-PA6:IH,R2-PM6:I,R2-PA7:VH,R2-PM7:V,R2-PA8:VH,R2-PM8:V,R2-PA9:VH,R2-PM9:V,R2-PA10:IH,R2-PM10:I,R2-PA11:IH,R2-PM11:I,R2-PA12:IH,R2-PM12:I,R2:F,R2:DF,R2-PA:Z,R2-PA:ZH,R2:S,R3-PA1:VH,R3-PM1:V,R3-PA2:VH,R3-PM2:V,R3-PA3:VH,R3-PM3:V,R3-PA4:IH,R3-PM4:I,R3-PA5:IH,R3-PM5:I,R3-PA6:IH,R3-PM6:I,R3-PA7:VH,R3-PM7:V,R3-PA8:VH,R3-PM8:V,R3-PA9:VH,R3-PM9:V,R3-PA10:IH,R3-PM10:I,R3-PA11:IH,R3-PM11:I,R3-PA12:IH,R3-PM12:I,R3:F,R3:DF,R3-PA:Z,R3-PA:ZH,R3:S,R4-PA1:VH,R4-PM1:V,R4-PA2:VH,R4-PM2:V,R4-PA3:VH,R4-PM3:V,R4-PA4:IH,R4-PM4:I,R4-PA5:IH,R4-PM5:I,R4-PA6:IH,R4-PM6:I,R4-PA7:VH,R4-PM7:V,R4-PA8:VH,R4-PM8:V,R4-PA9:VH,R4-PM9:V,R4-PA10:IH,R4-PM10:I,R4-PA11:IH,R4-PM11:I,R4-PA12:IH,R4-PM12:I,R4:F,R4:DF,R4-PA:Z,R4-PA:ZH,R4:S,control_panel_log1,control_panel_log2,control_panel_log3,control_panel_log4,relay1_log,relay2_log,relay3_log,relay4_log,snort_log1,snort_log2,snort_log3,snort_log4,marker
102.4219355,135571.1709,-17.55542684,135571.1709,-137.5442483,135671.464,100.5999297,571.48631,-23.95536541,603.71367,-138.6844343,568.37344,102.4391242,135596.2442,0,0,0,0,99.25347885,580.64181,155.9304639,19.95899,-71.4879441,20.50832,59.96,0,7.476007414,0.011732888,0,93.64471439,133074.6563,-26.29852325,132925.625,-146.3516245,133165,-85.49286312,579.8377686,150.3012087,609.1861572,35.31830031,573.4119263,93.66119564,133053,0,0,0,0,-86.68487457,587.0303955,-31.78070287,19.82116699,105.8175663,19.16313171,59.9640007,0,7.174072625,3.11424385,0,93.63849246,132587.4518,-26.32168111,132587.4518,-146.3105026,132662.6716,-85.65719037,577.52894,150.2982888,605.91099,35.01345086,572.76808,93.66714035,132612.525,0,0,0,0,-86.83748343,585.03645,-30.7162674,18.49411,104.1866455,18.12789,59.964,0,7.141822015,3.115197301,0,102.5021495,135646.3907,-17.49240149,134994.4857,-137.4926821,135721.6105,100.5197156,570.93698,-23.73191187,599.86836,-138.9537245,565.99301,102.5078791,135470.8778,0,0,0,0,99.21910138,578.44449,156.6409316,19.04344,-70.8634201,18.311,59.96,0,7.398176681,0.018250708,0,0,0,0,0,0,0,0,0,0,0,0,0,Natural
93.03688677,128024.1166,-26.94047553,127999.0434,-146.929297,128099.3364,88.8199174,612.31984,-34.55508462,638.87079,-150.5733086,610.48874,93.05407551,128049.1899,0,0,0,0,87.86307788,620.37668,144.9583222,15.74746,-81.86420977,16.84612,59.986,0.05,6.425914381,0.060390671,0,83.14178907,124919.8672,-36.80694687,124785.3438,-156.8490652,125011.1953,-96.46270701,620.4414063,140.4464751,643.8446045,24.07379232,615.9954224,83.16376179,124904.6797,0,0,0,0,-97.34161575,626.5068359,-41.11908094,15.32363892,94.90265082,14.99176025,59.98400116,0.059999999,6.128842093,3.125932438,0,83.14190565,124488.7856,-36.82972707,124438.639,-156.8185485,124513.8588,-96.76684202,618.54558,140.3402823,640.70189,23.85223301,613.23539,83.17055354,124488.7856,0,0,0,0,-97.5517942,623.85577,-42.54211629,14.83191,97.14499416,14.28258,59.984,0.05,6.110673462,3.134527489,0,93.09418255,128074.2632,-26.8946389,127447.4314,-146.8891899,128124.4097,88.74543289,611.40429,-34.42903391,634.47615,-150.8082213,607.00965,93.09991213,127873.677,0,0,0,0,87.8057821,617.26381,144.6833024,15.38124,-81.03342097,14.6488,59.984,0.05,6.372750155,0.06567959,0,0,0,0,0,0,0,0,0,0,0,0,0,Natural
99.53995775,131709.8873,-20.43167497,131709.8873,-140.4376852,131810.1804,100.3936649,391.30607,-22.95268927,407.78597,-138.9537245,390.0243,99.55714648,131734.9606,0,0,0,0,99.45401408,396.25004,155.4205315,10.07105,-70.38786513,10.80349,60.007,0,10.33881522,-0.028016042,0,93.39752301,130363.8516,-26.53472997,130224.0391,-146.5823346,130442.8906,-88.24493759,397.0985413,148.6697497,412.1303711,32.35199014,394.9413452,93.4249872,130341.5703,0,0,0,0,-89.10736508,401.2241211,-33.5714726,9.590148926,102.1920814,9.784698486,60.00899887,0,10.00733309,-3.122997521,0,93.40357976,129904.6119,-26.55086423,129854.4653,-146.5568744,129929.6851,-88.26414834,394.23583,148.6080633,409.06774,32.14866188,392.03851,93.43222765,129904.6119,0,0,0,0,-89.19806955,398.26425,-31.6501886,9.52172,101.0869438,9.33861,60.009,0,10.015966,-3.123794418,0,99.59725353,131785.1071,-20.38010877,131133.2021,-140.3803894,131835.2537,100.513986,389.47497,-22.712047,403.75755,-139.1141527,387.27765,99.60871268,131584.521,0,0,0,0,99.53422817,393.32028,156.2971569,9.52172,-72.04371316,9.33861,60.007,-0.01,10.28136384,-0.029347671,0,0,0,0,0,0,0,0,0,0,0,0,0,Natural
100.1129155,132085.9864,-19.8529876,132060.9131,-139.8589978,132161.2062,100.8749494,390.39052,-22.25941034,406.87042,-138.4667103,389.47497,100.1301043,132111.0596,0,0,0,0,100.0155127,395.5176,157.1909711,9.33861,-68.70336921,10.43727,60.003,0,10.37196466,-0.024198487,0,94.0182506,130757.9219,-25.91400238,130613.0625,-145.961607,130844.6016,-87.84393718,396.9841003,149.2630063,410.9344482,32.62115423,395.3647461,94.0457148,130736.8125,0,0,0,0,-88.68439196,400.9494629,-32.08282604,8.794784546,101.2747187,8.977890015,60.00500107,0,9.978569704,-3.119872068,0,94.0166446,130280.7109,-25.93779939,130280.7109,-145.9266208,130305.7842,-88.02923564,394.96827,149.2440465,407.78597,32.43514078,392.58784,94.04529249,130280.7109,0,0,0,0,-88.80845825,398.26425,-33.13987887,8.42306,102.7714397,8.23995,60.003,0,9.950001903,-3.114110472,0,100.1759409,132161.2062,-19.80715098,131509.3012,-139.7959724,132211.3527,100.8291128,390.0243,-22.00730891,402.65889,-138.6500568,387.09454,100.1874001,131960.62,0,0,0,0,100.0269719,393.13717,154.3089934,8.78928,-68.18197762,8.42306,60.003,0,10.24007291,-0.019560286,0,0,0,0,0,0,0,0,0,0,0,0,0,Natural
100.6457663,131985.6933,-19.33159601,131960.62,-139.326147,132060.9131,100.3879353,395.70071,-21.90417651,407.41975,-138.9365357,394.96827,100.6572254,132010.7666,0,0,0,0,99.83216622,399.1798,151.8280861,6.95818,-68.37105369,7.87373,60,0,10.0353769,-0.002751687,0,94.53461291,130640,-25.39215202,130487.2031,-145.4452584,130725.2578,-88.16802966,401.5846252,149.6365357,411.2262573,32.17620839,400.5317688,94.5620771,130617.8594,0,0,0,0,-88.79974702,404.3655396,-34.69207783,6.505966187,98.50616983,6.671905518,60,0,9.680789105,-3.104188818,0,94.5380362,130180.4178,-25.41640779,130155.3446,-145.4109588,130205.4911,-88.35582159,399.36291,149.6221986,408.3353,32.05125906,397.3487,94.56668409,130180.4178,0,0,0,0,-88.91159065,401.56023,-36.05050447,6.40885,102.4162059,6.22574,60,0,9.676364743,-3.09695779,0,100.7145212,132035.8398,-19.28002981,131383.9348,-139.2688513,132085.9864,100.513986,394.60205,-21.61769761,403.02511,-139.2000963,392.22162,100.7259804,131835.2537,0,0,0,0,99.87800285,396.61626,153.2833989,6.59196,-70.61131867,5.85952,60.001,0,9.914560234,-0.003993069,0,0,0,0,0,0,0,0,0,0,0,0,0,Natural
100.6343071,131910.4735,-19.33159601,131910.4735,-139.3318766,131985.6933,100.3019916,396.25004,-21.89844693,407.60286,-139.1026935,395.88382,100.6514959,131935.5467,0,0,0,0,99.74622255,399.91224,153.0771341,6.59196,-69.36227068,7.50751,60,0,9.986762533,-0.001960093,0,94.52362313,130565.6563,-25.40313838,130431.4297,-145.4617328,130656.5469,-88.29986597,402.2827148,149.6475323,411.3979492,32.09930387,400.8693848,94.55108732,130551.1641,0,0,0,0,-88.86566518,404.7775269,-36.02142389,6.271362305,100.4067997,6.380081177,60,0,9.640785673,-3.09995353,0,94.52084746,130105.198,-25.42786695,130080.1248,-145.422418,130130.2713,-88.4303061,400.27846,149.6050099,408.51841,31.91947877,398.08114,94.55522493,130105.198,0,0,0,0,-88.98607516,402.10956,-36.26249885,6.22574,101.2359128,5.85952,60,0,9.619215986,-3.096116988,0,100.7030621,131960.62,-19.28002981,131333.7883,-139.2745808,132035.8398,100.3707466,394.78516,-21.64061592,403.57444,-139.3318766,393.13717,100.7145212,131785.1071,0,0,0,0,99.7863296,397.16559,154.6699568,6.04263,-70.80612432,5.85952,60,0,9.903579593,-0.001247002,0,0,0,0,0,0,0,0,0,0,0,0,0,Natural
100.5655522,131734.9606,-19.40035094,131709.8873,-139.4006316,131785.1071,99.80351833,398.44736,-22.087523,408.51841,-139.6871105,398.63047,100.5884705,131734.9606,0,0,0,0,99.32796336,401.74334,153.5927961,5.4933,-70.20451864,6.59196,60,0,9.848223742,0.006036098,0,94.44122373,130370.75,-25.49102926,130225.2109,-145.5496237,130453.1719,-88.81622827,405.0922241,149.438788,412.7311707,31.48407117,403.9935913,94.46319645,130347.8359,0,0,0,0,-89.31061102,407.2151184,-35.97198698,5.28717041,99.00055259,5.350112915,59.99900055,0,9.486817914,-3.091702523,0,94.44063337,129904.6119,-25.51381062,129879.5386,-145.5083617,129929.6851,-88.90013149,402.842,149.4503113,409.43396,31.34652097,400.64468,94.46928126,129904.6119,0,0,0,0,-89.37568646,404.30688,-36.47449324,5.31019,100.6858733,4.76086,60,0,9.46515022,-3.088125772,0,100.6343071,131785.1071,-19.34878474,131133.2021,-139.3376062,131835.2537,99.8378958,397.16559,-21.84115115,404.85621,-139.8303499,395.70071,100.6457663,131584.521,0,0,0,0,99.37379999,399.1798,153.3979905,5.12708,-69.29924532,5.12708,60,0,9.780968796,0.009137067,0,0,0,0,0,0,0,0,0,0,0,0,0,Natural
100.3822057,131534.3744,-19.57223828,131534.3744,-139.5782485,131609.5942,98.96699995,401.92645,-22.39692021,409.61707,-140.7413528,402.65889,100.405124,131559.4477,0,0,0,0,98.60030696,404.6731,157.4488021,3.84531,-72.57083433,4.94397,60,0,9.615920259,0.018617036,0,94.24346926,130180.8438,-25.6942752,130046.1719,-145.7418798,130267.0313,-89.53033821,407.6099243,149.120187,414.0643921,30.56671188,408.0619812,94.26544198,130163.8984,0,0,0,0,-89.95331133,409.8930359,-29.967957,3.736495972,92.84271358,4.159927368,59.99900055,0,9.329197643,-3.08361482,0,94.24582772,129729.099,-25.71434585,129704.0257,-145.7146265,129754.1723,-89.56476253,405.22243,149.0836183,410.71573,30.41259977,405.03932,94.26874603,129729.099,0,0,0,0,-90.01739919,407.05353,-30.40687019,3.84531,89.22671744,3.6622,60,0,9.315469504,-3.083317133,0,100.4509606,131609.5942,-19.53213124,130982.7625,-139.5209527,131659.7408,99.1102394,400.27846,-22.25368076,405.95487,-140.8731331,399.72913,100.4681494,131409.0081,0,0,0,0,98.65187317,401.92645,158.6692022,3.84531,-79.06244615,3.6622,60,0,9.577319873,0.016370651,0,0,0,0,0,0,0,0,0,0,0,0,0,Natural
100.3592874,131534.3744,-19.60088617,131509.3012,-139.6126259,131609.5942,98.85813797,402.47578,-22.45421599,409.43396,-140.8158373,402.29267,100.3764761,131559.4477,0,0,0,0,98.52009287,404.6731,153.6730102,4.02842,-69.99252425,4.57775,60,0,9.585610633,0.021901505,0,94.2105136,130172.5156,-25.72174109,130029.6172,-145.7748423,130256.9453,-89.64569327,408.531189,149.1146955,413.366333,30.49530225,408.0734253,94.23797779,130151.6563,0,0,0,0,-90.00823971,409.9674072,-37.08709733,3.553390503,93.16681288,3.587722778,60,0,9.272291646,-3.080979239,0,94.21145025,129704.0257,-25.74299374,129704.0257,-145.7375448,129729.099,-89.81686396,406.13798,149.1065366,411.08195,30.3782223,404.85621,94.24582772,129704.0257,0,0,0,0,-90.10907244,407.23664,-35.54057203,3.47909,102.6683073,3.29598,60,0,9.283822528,-3.073620738,0,100.4223128,131584.521,-19.56077913,130957.6892,-139.5496006,131634.6675,98.92689291,400.82779,-22.33389485,405.77176,-140.9361584,400.09535,100.4337719,131383.9348,0,0,0,0,98.54874076,402.29267,152.4697989,3.6622,-76.93104315,3.47909,59.999,0,9.556750715,0.020085611,0,0,0,0,0,0,0,0,0,0,0,0,0,Natural
103.4819074,132035.8398,-16.47826619,132010.7666,-136.4842764,132085.9864,103.9918398,291.1449,-16.6043169,295.17332,-135.3784678,291.1449,103.5048257,132035.8398,0,0,0,0,103.9975694,292.42667,0,0,0,0,60.012,-0.2,13.23069325,-0.005535817,0,99.0994264,131298.7656,-20.84381123,131149.9375,-140.8859295,131380.8281,-87.78900197,295.9213257,151.4877355,298.5363159,32.28607198,295.7725525,99.12139912,131275.7969,0,0,0,0,-88.00872915,296.739563,0,0,0,0,60.01399994,-0.050000001,12.80014048,-3.024133102,0,99.09878025,130832.3229,-20.8671229,130807.2496,-140.8444852,130832.3229,-87.9375624,293.70844,151.4785819,295.90576,32.34346754,293.15911,99.12742814,130832.3229,0,0,0,0,-88.04642438,294.25777,0,0,0,0,60.014,-0.06,12.85809426,-3.018700157,0,103.5621215,132085.9864,-16.42097041,131459.1546,-136.4097919,132136.1329,104.3184258,289.3138,-16.3980521,291.51112,-135.5274369,289.13069,103.5735806,131885.4002,0,0,0,0,104.1236201,290.04624,0,0,0,0,60.012,-0.16,13.17476311,-0.016262784,0,0,0,0,0,0,0,0,0,0,0,0,0,Natural
